"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Rogoski+Arquitetura/data=!4m7!3m6!1s0x935ef10acaa21319:0xb09ec6a5c3af9935!8m2!3d-16.7066056!4d-49.2622198!16s%2Fg%2F11vjdwxkqh!19sChIJGROiygrxXpMRNZmvw6XGnrA?authuser=0&hl=pt-BR&rclk=1","Rogoski Arquitetura","4,5","(2)","Arquiteto","·","","·","R. 1124, 219","Aberto","· Fecha 18:00","·","(62) 99491-0264","","","Rotas","","","","","",""
"https://www.google.com/maps/place/Elaine+Saliba+Arquitetura/data=!4m7!3m6!1s0x935ef140d7929999:0xc4ffad56eda9d75!8m2!3d-16.713971!4d-49.2707744!16s%2Fg%2F1jkymbf4t!19sChIJmZmS10DxXpMRdZ3abtX6Tww?authuser=0&hl=pt-BR&rclk=1","Elaine Saliba Arquitetura","5,0","(4)","Arquiteto","·","","Número 1296, Sala 705 e 706 - Avenida T-63","·","Aberto","· Fecha 18:00","","(62) 3255-8794","","","Rotas","","","","","",""
"https://www.google.com/maps/place/Viver+Arquitetura+e+Neg%C3%B3cios+Imobili%C3%A1rios/data=!4m7!3m6!1s0x935ef10c5fc2215f:0x7fa8f02d3ffd010f!8m2!3d-16.7030135!4d-49.2726978!16s%2Fg%2F11qpys27t4!19sChIJXyHCXwzxXpMRDwH9Py3wqH8?authuser=0&hl=pt-BR&rclk=1","Viver Arquitetura e Negócios Imobiliários","5,0","(4)","Escritório de Arquitetura","·","","·","Edifício Focus Bussines - Av. T-2, 471 - Sala 2110","Aberto","· Fecha 18:00","·","(62) 99974-0447","https://www.viver.arq.br/","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Arquiteta","que entende e traduz nossas ideias em belíssimos projetos!"""
"https://www.google.com/maps/place/Diego+Mendon%C3%A7a+Arquitetura/data=!4m7!3m6!1s0x935ef3c99e504cc5:0xe99261a52bee813f!8m2!3d-16.6756071!4d-49.2778607!16s%2Fg%2F11ft1drybl!19sChIJxUxQnsnzXpMRP4HuK6Vhkuk?authuser=0&hl=pt-BR&rclk=1","Diego Mendonça Arquitetura","5,0","(6)","Arquiteto","·","","R. P-5A","·","Aberto","· Fecha 19:00","","(62) 99343-9297","https://bit.ly/meuprojetoDMArq","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""O projeto ficou sensacional!!""","",""
"https://www.google.com/maps/place/Griffe+Arquitetura/data=!4m7!3m6!1s0x935ef114aaaaaaab:0x62cebfc2b5b08430!8m2!3d-16.704717!4d-49.2410884!16s%2Fg%2F1tg5d5k1!19sChIJq6qqqhTxXpMRMISwtcK_zmI?authuser=0&hl=pt-BR&rclk=1","Griffe Arquitetura","4,9","(7)","Escritório de Arquitetura","·","","Edifício Metropolitan Business - Torre Tokyo - Av. Dep. Jamel Cecílio, 2690 - Sala 317","·","Aberto","· Fecha 19:00","","(62) 3093-1044","http://www.griffearquitetura.com.br/","","Website","","Rotas","","Serviços no local","",""
"https://www.google.com/maps/place/Arquiteto+Construtor+T%C3%A1ssio+Christiano+Arquitetura+e+Urbanismo/data=!4m7!3m6!1s0x935ef1001015de0f:0x2d812603302117e0!8m2!3d-16.6864038!4d-49.2647036!16s%2Fg%2F11y8m5ycbk!19sChIJD94VEADxXpMR4BchMAMmgS0?authuser=0&hl=pt-BR&rclk=1","Arquiteto Construtor Tássio Christiano Arquitetura e Urbanismo","5,0","(3)","Arquiteto","·","","Av. Goiás Norte","·","Aberto","· Fecha 18:00","","(62) 99281-1751","https://www.instagram.com/tc.arqurb/profilecard/?igsh=bm01d3d0djM1MnB5","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Profissional excelente, projetos sempre com muita qualidade!""","",""
"https://www.google.com/maps/place/Forma+e+Fun%C3%A7%C3%A3o+Arquitetura+e+Engenharia/data=!4m7!3m6!1s0x935ef3337918702d:0xd35c1cbfdfd817ca!8m2!3d-16.6900806!4d-49.2750169!16s%2Fg%2F11fd6gq_wv!19sChIJLXAYeTPzXpMRyhfY378cXNM?authuser=0&hl=pt-BR&rclk=1","Forma e Função Arquitetura e Engenharia","5,0","(2)","Arquiteto","·","","Lourenço Office, Av. T-7, 371 - Sala 2017","·","Aberto","· Fecha 18:00","","(62) 98126-0613","","","Rotas","","","","","",""
"https://www.google.com/maps/place/Matheus+Garcia+ARQUITETURA/data=!4m7!3m6!1s0x935ef145a23e776d:0x4279cde60fdd062e!8m2!3d-16.6898783!4d-49.2723379!16s%2Fg%2F1tjwjt_q!19sChIJbXc-okXxXpMRLgbdD-bNeUI?authuser=0&hl=pt-BR&rclk=1","Matheus Garcia ARQUITETURA","5,0","(2)","Arquiteto","·","","Galeria R-11, Sala 201 Av R-11, N 870, Setor Oeste Em frente ao Mangueiras","·","Aberto","· Fecha 22:00","","(62) 3274-1026","http://www.matheusgarcia.arq.br/","","Website","","Rotas","","","",""
"https://www.google.com/maps/place/8LINHAS+ARQUITETURA/data=!4m7!3m6!1s0x935ef1b19edf2c87:0x5d56baa48a2af049!8m2!3d-16.7035328!4d-49.2659175!16s%2Fg%2F11tn6n0qxd!19sChIJhyzfnrHxXpMRSfAqiqS6Vl0?authuser=0&hl=pt-BR&rclk=1","8LINHAS ARQUITETURA","5,0","(5)","Escritório da empresa","·","","·","Edifício New Times Square Urban Office - Av. T-10, Sala 1909, n° 208 Qd. 102, Lt. 9/12 CEP: 74.223-060","Aberto","· Fecha 18:00","·","(62) 98218-3732","https://www.instagram.com/8linhas/?next=/","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Profissionais dedicados, comprometidos e com um alto nível de excelência.""","",""
"https://www.google.com/maps/place/Arquiteta+Juliana+de+Oliveira/data=!4m7!3m6!1s0x935ef52bab000091:0x1c5e0542a62f9d97!8m2!3d-16.695616!4d-49.2917425!16s%2Fg%2F11vrdpx4dw!19sChIJkQAAqyv1XpMRl50vpkIFXhw?authuser=0&hl=pt-BR&rclk=1","Arquiteta Juliana de Oliveira","4,8","(19)","Escritório de arquitetura de interiores","·","","·","24ºPV Condominio Terra Mundi Office - Av. C-4, 931 - Qd. 49 Lt. 01/14, sala 2401B","Fechado","· Abre seg. às 08:00","·","(62) 98468-8066","https://arquitetajulianadeoliveira.com.br/","","Website","","Rotas","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente experiência recomendo""","",""
